Nowadays universities can accept male and female students in different specializes.
<Nowadays AV0><universities NN2><can VM0><accept VVI><male AJ0><and CJC><female AJ0><students NN2><in PRP><different AJ0><specializes VVZ><. SENT>@
The problem of sex is a controversial issue worth discussing.
<The AT0><problem NN1><of PRF><sex NN1><is VBZ><a AT0><controversial AJ0><issue NN1><worth PRP><discussing VVG><. SENT>@
I am partly agree with the proposition of equal numbers of male and female students.
<I PNP><am VBB><partly AV0><agree VVB><with PRP><the AT0><proposition NN1><of PRF><equal AJ0><numbers NN2><of PRF><male AJ0><and CJC><female AJ0><students NN2><. SENT>@
Many people argued that in the modern society it should not be any differences between men and women.
<Many DT0><people NN0><argued VVD><that CJT><in PRP><the AT0><modern AJ0><society NN1><it PNP><should VM0><not XX0><be VBI><any DT0><differences NN2><between PRP><men NN2><and CJC><women NN2><. SENT>@
Firstly, this hypothesis was accepted by constitution and that do it right.
<Firstly AV0><, PUN><this DT0><hypothesis NN1><was VBD><accepted VVN><by PRP><constitution NN1><and CJC><that DT0><do VDB><it PNP><right AV0><. SENT>@
Secondly, many psycologists considered this question from different angles and they said that women could be more strong than men and they could be as active as men.
<Secondly AV0><, PUN><many DT0><psycologists NN2><considered VVD><this DT0><question NN1><from PRP><different AJ0><angles NN2><and CJC><they PNP><said VVD><that CJT><women NN2><could VM0><be VBI><more AV0><strong AJ0><than CJS><men NN2><and CJC><they PNP><could VM0><be VBI><as AV0><active AJ0><as CJS><men NN2><. SENT>@
Thirdly, if female students are interested in education the universities should not isolate them from the science because it could damage their health.
<Thirdly AV0><, PUN><if CJS><female AJ0><students NN2><are VBB><interested AJ0><in PRP><education NN1><the AT0><universities NN2><should VM0><not XX0><isolate VVI><them PNP><from PRP><the AT0><science NN1><because CJS><it PNP><could VM0><damage VVI><their DPS><health NN1><. SENT>@
On the other hand, there are some points that could stop the female activity.
<On PRP><the AT0><other AJ0><hand NN1><, PUN><there EX0><are VBB><some DT0><points NN2><that CJT><could VM0><stop VVI><the AT0><female AJ0><activity NN1><. SENT>@
For example, the biological differences between women and men are reasonable when it concerns harmfull work.
<For PRP><example NN1><, PUN><the AT0><biological AJ0><differences NN2><between PRP><women NN2><and CJC><men NN2><are VBB><reasonable AJ0><when CJS><it PNP><concerns VVZ><harmfull AJ0><work NN1><. SENT>@
In addition, the education takes a lot of times and women could not have some possibilities to do their personal work at home.
<In PRP><addition NN1><, PUN><the AT0><education NN1><takes VVZ><a AT0><lot NN1><of PRF><times NN2><and CJC><women NN2><could VM0><not XX0><have VHI><some DT0><possibilities NN2><to TO0><do VDI><their DPS><personal AJ0><work NN1><at PRP><home NN1><. SENT>@
Furthermore, the equal number of male and female students in the one subject could provoke different conflicts and it is not good.
<Furthermore AV0><, PUN><the AT0><equal AJ0><number NN1><of PRF><male AJ0><and CJC><female AJ0><students NN2><in PRP><the AT0><one CRD><subject NN1><could VM0><provoke VVI><different AJ0><conflicts NN2><and CJC><it PNP><is VBZ><not XX0><good AJ0><. SENT>@
To conclude, it can be noticed that the distance between women and men should not be as large as it was in the Middle Age.
<To TO0><conclude VVI><, PUN><it PNP><can VM0><be VBI><noticed VVN><that CJT><the AT0><distance NN1><between PRP><women NN2><and CJC><men NN2><should VM0><not XX0><be VBI><as AV0><large AJ0><as CJS><it PNP><was VBD><in PRP><the AT0><Middle AJ0><Age NN1><. SENT>@
Personally, I believe that government should found a good resolutions because it is a very important question with positive and negative sides.
<Personally AV0><, PUN><I PNP><believe VVB><that CJT><government NN1><should VM0><found VVD><a AT0><good AJ0><resolutions NN2><because CJS><it PNP><is VBZ><a AT0><very AV0><important AJ0><question NN1><with PRP><positive AJ0><and CJC><negative AJ0><sides NN2><. SENT>@
